,LGCYINVESTORID,TOP10SHSHLDVALpct,Unnamed: 0,CLUSTER,FULLNAME
0,400286,0.4281017165563593,0,0,"Chilton Investment Company, LLC"
1,403412,0.3119842231348999,1,0,"Osterweis Capital Management, LLC"
2,413908,0.3462662835298379,2,3,"The de Burlo Group, Inc."
3,424474,0.1889198505923601,3,0,Mason Capital Partners
4,705376,0.3110009491595622,4,0,"Boyd Watterson Asset Management, LLC"
5,2000264,0.5986324136324074,5,0,"Lone Pine Capital, L.L.C."
6,2001901,0.36482610363489004,6,0,TD Greystone Asset Management
7,2001903,0.3233838235693563,7,0,"Baron Capital Management, Inc."
8,2001904,0.9466957552679444,8,0,"Brave Warrior Advisors, LLC"
9,2001910,0.4519068049822164,9,0,"NewSouth Capital Management, Inc."
10,2001911,0.16293011222552525,10,0,Pinnacle Associates Ltd.
11,2001912,0.19435383057240388,11,0,THB Asset Management
12,2001913,0.4333041869508133,12,0,"Sasco Capital, Inc."
13,2001915,0.38334434938026507,13,0,Anderson Hoagland & Company
14,2001919,0.19985616515292115,14,0,Westwood Management Corp. (Texas)
15,2001920,0.38949432890553337,15,3,"L. Roy Papp & Associates, LLP"
16,2001921,0.6428029853722715,16,0,"Steinberg Asset Management, LLC"
17,2001924,0.31886399396791704,17,3,Chemung Canal Trust Company
18,2001934,0.16484803063363065,18,0,Voya Investment Management LLC
19,2001935,0.15497693474569318,19,0,"UBS Financial Services, Inc."
20,2001936,0.32586501049267125,20,0,"Franklin Mutual Advisers, LLC"
21,2001941,0.21722924403636493,21,0,"Becker Capital Management, Inc."
22,2001942,0.498930310545461,22,3,Mount Vernon Associates Inc.
23,2001944,0.2357030299208637,23,0,"Argus Investors' Counsel, Inc."
24,2001953,0.2460638404790097,24,0,Tocqueville Asset Management LP
25,2001954,0.2526263671319767,25,0,The Commerce Trust Company
26,2001957,0.5441153478692248,26,3,Saybrook Capital Corporation
27,2001958,0.19617228405220585,27,0,Anchor Capital Advisors LLC
28,2001963,0.17249969117822755,28,0,James Investment Research Inc.
29,2001964,0.2555139099135533,29,0,"Flippin, Bruce & Porter, Inc."
30,2001967,0.5995833231847425,30,0,"Westport Asset Management, Inc."
31,2001970,0.155280137374984,31,0,PineBridge Investments LLC
32,2001971,0.7738457180452971,32,0,Howard Hughes Medical Institute
33,2001973,0.14098927432048142,33,0,Mellon Investments Corporation
