HOLDDATE,0,1,2,3,4,5,6,7,8,9
2010-06-30,"Dimensional Fund Advisors, L.P.",Columbia Threadneedle Investments (US),"AQR Capital Management, LLC",Guggenheim Investments,"BlackRock Institutional Trust Company, N.A.",Deutsche Asset Management Americas,"UBS Financial Services, Inc.","The Vanguard Group, Inc.",Principal Global Investors (Equity),Renaissance Technologies LLC
2010-09-30,"The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.",State Street Global Advisors (US),"Dimensional Fund Advisors, L.P.",Northern Trust Global Investments Limited,"BlackRock Institutional Trust Company, N.A.",BNY Mellon Asset Management,Northern Trust Global Investments,"BlackRock Investment Management, LLC"
2010-12-31,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Dimensional Fund Advisors, L.P.","Geode Capital Management, L.L.C.",BNY Mellon Asset Management,State Street Global Advisors (US),Northern Trust Global Investments Limited,"Charles Schwab Investment Management, Inc.",Northern Trust Global Investments
2011-03-31,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Dimensional Fund Advisors, L.P.",State Street Global Advisors (US),"Geode Capital Management, L.L.C.",Northern Trust Global Investments,"BlackRock Investment Management, LLC",Northern Trust Global Investments Limited,"Charles Schwab Investment Management, Inc."
2011-06-30,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Dimensional Fund Advisors, L.P.","Geode Capital Management, L.L.C.",State Street Global Advisors (US),Northern Trust Global Investments,Northern Trust Global Investments Limited,"BlackRock Investment Management, LLC","U.S. Bancorp Asset Management, Inc."
2011-09-30,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","BlackRock Investment Management, LLC",State Street Global Advisors (US),"Geode Capital Management, L.L.C.",Guggenheim Investments,Northern Trust Global Investments Limited,Columbia Threadneedle Investments (US)
2011-12-31,"The Vanguard Group, Inc.","BlackRock Institutional Trust Company, N.A.","Northern Trust Investments, Inc.",State Street Global Advisors (US),"Dimensional Fund Advisors, L.P.","Geode Capital Management, L.L.C.",Northern Trust Global Investments Limited,"Charles Schwab Investment Management, Inc.",Hartford Investment Management Company,Northern Trust Global Investments
2012-03-31,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.",State Street Global Advisors (US),"BlackRock Investment Management, LLC",Northern Trust Global Investments,"Geode Capital Management, L.L.C.",Columbia Threadneedle Investments (US),Guggenheim Investments
2012-06-30,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Dimensional Fund Advisors, L.P.","Northern Trust Investments, Inc.",State Street Global Advisors (US),"Geode Capital Management, L.L.C.","Charles Schwab Investment Management, Inc.","U.S. Bancorp Asset Management, Inc.",Northern Trust Global Investments,Northern Trust Global Investments Limited
2012-09-30,"Dimensional Fund Advisors, L.P.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","U.S. Bancorp Asset Management, Inc.",State Street Global Advisors (US),"Geode Capital Management, L.L.C.","BlackRock Institutional Trust Company, N.A.",BNY Mellon Asset Management,Legal & General Investment Management Ltd.,Northern Trust Global Investments Limited
2012-12-31,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","U.S. Bancorp Asset Management, Inc.","Charles Schwab Investment Management, Inc.",State Street Global Advisors (US),"Geode Capital Management, L.L.C.",Principal Global Investors (Equity),Northern Trust Global Investments Limited
2013-03-31,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","Northern Trust Investments, Inc.","The Vanguard Group, Inc.","Geode Capital Management, L.L.C.",Columbia Threadneedle Investments (US),Northern Trust Global Investments Limited,State Street Global Advisors (US),"U.S. Bancorp Asset Management, Inc.","BlackRock Investment Management, LLC"
2013-06-30,"BlackRock Institutional Trust Company, N.A.","Northern Trust Investments, Inc.","The Vanguard Group, Inc.",State Street Global Advisors (US),"Geode Capital Management, L.L.C.","Dimensional Fund Advisors, L.P.","Charles Schwab Investment Management, Inc.","BlackRock Investment Management, LLC",Northern Trust Global Investments Limited,Columbia Threadneedle Investments (US)
2013-09-30,"Dimensional Fund Advisors, L.P.","BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.",State Street Global Advisors (US),"Charles Schwab Investment Management, Inc.","BlackRock Investment Management, LLC","U.S. Bancorp Asset Management, Inc.",Northern Trust Global Investments Limited
2013-12-31,"BlackRock Institutional Trust Company, N.A.","The Vanguard Group, Inc.","Northern Trust Investments, Inc.","Geode Capital Management, L.L.C.",Northern Trust Global Investments Limited,"Charles Schwab Investment Management, Inc.","U.S. Bancorp Asset Management, Inc.","BlackRock Investment Management, LLC",Legal & General Investment Management Ltd.,BlackRock Asset Management Ireland Limited
