HOLDDATE,LGCYINVESTORID,Delta
2010-06-30,2000264,0.00027446541358731576
2010-09-30,2000264,0.0001044191957226322
2010-12-31,2000264,0.00022285473702719901
2011-03-31,2000264,0.00012919188849359252
2011-06-30,2000264,9.142658144065912e-05
2011-09-30,2000264,0.00011023438185897249
2011-12-31,2000264,0.00018130778777455104
2012-03-31,2000264,0.00013055544154721898
2012-06-30,2000264,0.00018682131446767382
2012-09-30,2000264,8.956243548086263e-05
2012-12-31,2000264,0.0002818276810186983
2013-03-31,2000264,0.00015546590378741722
2013-06-30,2000264,9.426382180093404e-05
2013-09-30,2000264,0.00013771052232295768
2013-12-31,2000264,0.00013795621068410726
2014-03-31,2000264,0.00015668478528727792
2014-06-30,2000264,0.00010520981802321212
2014-09-30,2000264,0.00010800118576457154
2014-12-31,2000264,0.00021239576399303785
2015-03-31,2000264,0.00020765463907964488
2015-06-30,2000264,0.00016385387571132013
2015-09-30,2000264,0.00018217143659628328
2015-12-31,2000264,0.00018712084314505682
2016-03-31,2000264,0.00017389104703421118
2016-06-30,2000264,0.00018594667971911518
2016-09-30,2000264,0.0002627492266985767
2016-12-31,2000264,0.00018668287069365468
2017-03-31,2000264,0.0004115565926166669
2017-06-30,2000264,0.000371621263481771
2017-09-30,2000264,0.00029892520468126723
2017-12-31,2000264,0.0004912261356922789
2018-03-31,2000264,0.00023011396750717406
2018-06-30,2000264,0.00018392919216566955
2018-09-30,2000264,0.00029266026808382123
2018-12-31,2000264,0.0005996462798093878
2019-03-31,2000264,0.00027168021691212016
2019-06-30,2000264,0.0002781644895808719
2019-09-30,2000264,0.000257977538555114
2019-12-31,2000264,0.00013743040381678615
2020-03-31,2000264,0.00020013396464522407
2020-06-30,2000264,0.00047307805999556346
2010-06-30,2001934,1.5815829988884291e-06
2010-09-30,2001934,1.1263122484392314e-07
2010-12-31,2001934,1.4511606833872172e-07
2011-03-31,2001934,1.4263996796872289e-07
2011-06-30,2001934,1.320463232650375e-07
2011-09-30,2001934,2.1557372468203572e-07
2011-12-31,2001934,1.0089619646273238e-07
2012-03-31,2001934,1.2003984870850144e-07
2012-06-30,2001934,1.5160764452179492e-07
2012-09-30,2001934,2.1533066497287545e-07
2012-12-31,2001934,2.1909077010160446e-07
2013-03-31,2001934,2.3263595161782236e-07
2013-06-30,2001934,1.909745867687432e-07
2013-09-30,2001934,2.0016801325961996e-07
2013-12-31,2001934,2.7509771343369853e-07
2014-03-31,2001934,2.73233772821598e-07
2014-06-30,2001934,2.828560262818953e-07
2014-09-30,2001934,1.7386580936353e-07
2014-12-31,2001934,2.3413997993774166e-07
2015-03-31,2001934,2.4994566703989074e-07
2015-06-30,2001934,1.869010332535343e-07
2015-09-30,2001934,2.517439352031943e-07
2015-12-31,2001934,1.6523703149601748e-07
2016-03-31,2001934,3.1001172592579824e-07
2016-06-30,2001934,2.0695177645692511e-07
2016-09-30,2001934,2.009920242869137e-07
2016-12-31,2001934,2.1006058196097765e-07
2017-03-31,2001934,2.2321581113949718e-07
2017-06-30,2001934,1.4266492725555142e-07
2017-09-30,2001934,2.817746949586482e-07
2017-12-31,2001934,1.1647899833076365e-07
2018-03-31,2001934,2.3864276463438315e-07
2018-06-30,2001934,2.7504114878682525e-07
2018-09-30,2001934,1.5205232121307221e-07
2018-12-31,2001934,2.056413589319736e-07
2019-03-31,2001934,2.1944822009033884e-07
2019-06-30,2001934,2.404997043765433e-07
2019-09-30,2001934,1.8078396950195245e-07
2019-12-31,2001934,1.861450946763419e-07
2020-03-31,2001934,3.214870895129301e-07
2020-06-30,2001934,3.748369359422729e-07
2010-06-30,2001935,1.0039130593314305e-06
2010-09-30,2001935,1.5771521222677002e-07
2010-12-31,2001935,5.495643800558244e-08
2011-03-31,2001935,5.8373990151279284e-08
2011-06-30,2001935,1.0292712766718279e-07
2011-09-30,2001935,2.967631169131418e-07
2011-12-31,2001935,3.484051659939002e-07
2012-03-31,2001935,1.0834333995906599e-07
2012-06-30,2001935,9.826373618499716e-08
2012-09-30,2001935,7.658855600670338e-08
2012-12-31,2001935,1.2069833081121848e-07
2013-03-31,2001935,1.4389346026177625e-07
2013-06-30,2001935,9.423470006479453e-08
2013-09-30,2001935,2.820449736913508e-08
2013-12-31,2001935,1.1503078646410248e-07
2014-03-31,2001935,7.272205580936716e-08
2014-06-30,2001935,8.005423521629589e-08
2014-09-30,2001935,7.127398672061825e-08
2014-12-31,2001935,7.095592456672102e-08
2015-03-31,2001935,3.756783511712382e-08
2015-06-30,2001935,1.1000447876680196e-07
2015-09-30,2001935,1.2991808942669625e-07
2015-12-31,2001935,1.3237867416859482e-07
2016-03-31,2001935,1.6510259500553113e-07
2016-06-30,2001935,2.3762401893295465e-08
2016-09-30,2001935,1.9646750608558676e-08
2016-12-31,2001935,3.563540925664947e-08
2017-03-31,2001935,2.5880161963413973e-08
2017-06-30,2001935,8.378243792090894e-08
2017-09-30,2001935,1.7276649270992022e-08
2017-12-31,2001935,1.0742675513877745e-07
2018-03-31,2001935,1.9403866146667808e-08
2018-06-30,2001935,2.4018766957405476e-08
2018-09-30,2001935,1.773092638125901e-08
2018-12-31,2001935,4.7268491458229364e-08
2019-03-31,2001935,4.1495433134464215e-08
2019-06-30,2001935,2.37837100323966e-08
2019-09-30,2001935,3.0285443778449016e-08
2019-12-31,2001935,2.7548757510330438e-08
2020-03-31,2001935,4.5545955774501104e-08
2020-06-30,2001935,3.3482377418893824e-08
2010-06-30,2001989,0.0001202171637666698
2010-09-30,2001989,2.3825442852151864e-05
2010-12-31,2001989,5.667329167489436e-06
